COMPTROLLER,MARKET
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0x660474510ec741368ad6a16f7731cbf03844396f
0x043263ca46230520fa2ba06a86e5c6f77464e81e,0xeaa4a2bfeb3b42aacf18e2fb2ea15c05ea438273
0xbebef25702c845aadee25dcf9a63d248c8fe5dac,0xb550462be98de226fd3db2e14ff118009ae4bd3f
0x44a03c14f30d49cb43b7f7e91e987ecc10cc0b09,0x6fb56bd3197360da748844ad072ed82dcbe72a8c
0xeed247ba513a8d6f78be9318399f5ed1a4808f8e,0xb287180147ef1a97cbfb07e2f1788b75df2f6299
0xdd6c5707dee472af3b53ab120d03d455e6cc95f9,0xd9322439df5b6bb2d53bc5607f97b956d814e65e
0xd0adcd27c2319da0c070324481d366d4f3c8fbe4,0xdb4b735a11694bebfac697d8189031419b902c19
0x66a3e782be81c5175171b695e56ae412b6966c15,0xf81263eb84dfa118261cb9377f2c46ca04689e6e
0xa3a2b235bf12331e8b6df33ccc5c10a9fe5b679b,0x924bc4eb0b930b60510926ff03c5af2a22f01c89
0xa86dd95c210dd186fa7639f93e4177e97d057576,0x79b6c5e1a7c0ad507e1db81ec7cf269062bab4eb
0x32ae7037a8f657e9a6adfd5f1590c800f5c8b36a,0x81c768f791767803f07e5e86bf6775bfdcf5e232
0x3886a3b02ce2df807c050724e3013a88514d2310,0x01c2a100717bce740887feb6b6bea3072eac80c9
0x66a3e782be81c5175171b695e56ae412b6966c15,0x7b571111daff9428f7563582242ed29e5949970e
0x0319c359c828d2cd9e52a853559d76f9958cd771,0x834832579f24972ccdbc5be23035a3882cd68428
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0xd73ed2df40c7b671de0553b1f355ff46dd37bdd1
0xdd6c5707dee472af3b53ab120d03d455e6cc95f9,0xfb3135c79d3d62b9460a2ff950b10093f2026648
0x91c471053ba4697b13d62de1e850cc89ebe23633,0xcdca5f660f3a8b11b3660acbe96f87b266867741
0x1813554dc1f68cf54f71449db298daf9ab75f4f3,0x39d3c99f3b8b86c44aae49eadabab3b00f106fed
0x537a09fd99fc7ef737d297cdeeab3b7f9602308c,0x3ac58f8c51b2ac243d39396a4ecb44fa1856334c
0x08b55c9d3ae64e31fd220e362c301497c1810dc9,0x9c078092338c5a9f5d9fabcf772b3fc9f774c72f
0x08b55c9d3ae64e31fd220e362c301497c1810dc9,0x221a62cf0f20a70719c6749cfb4fddfa3f2fb05a
0x9766f97582452df92daaa030e28c1fdecb2671a7,0xca6a99da640633e73eec099c20d762a0d0a80d4d
0xa22a3dad6fd8bd35ffe0ad5433ef219406ff7b51,0x718356a8ee2487f5e87c5790b56e6b1148150540
0xeed247ba513a8d6f78be9318399f5ed1a4808f8e,0x0706905b2b21574defcf00b5fc48068995fcdcdf
0x3c13b172bf8be5b873eb38553fec50f78c826284,0x92f6aa3d3d4b46f5e99a26984b4112c7faa0c96c
0x7d9529ad4a50c36a544aa4aaec16e781dfa52a43,0xc5ad5815c6d1bb325de92e6daf4a568e9eb6ec76
